Name,Series,Brand,Exclusive To,UPC,Release Date,Production Status,Scale,Reference Number,HDBID,Image URL
Michael Corleone (Gray Suit) (Hat),"Pop! Vinyl, Barnes & Noble, Pop! Movies",Funko,"{'name': 'Barnes & Noble', 'url': '/marketplaces/hobbydb/subjects/barnes-noble-retailer'}",889698135283,2017,Exclusive,,404,316987,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456613/Michael_Corleone_%2528Gray_Suit%2529_%2528Hat%2529_Vinyl_Art_Toys_d03035c9-9810-499d-bb6f-1c3bbd6e021f_medium.jpeg
Count Chocula,"Pop! Vinyl, Pop! Ad Icons",Funko,,830395020280,2011,,,1,316989,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456625/Count_Chocula_Vinyl_Art_Toys_53959edd-0db3-4592-bfe2-4e8a0df33605_medium.jpg
Count Chocula,"Pop! Vinyl, Pop! Ad Icons",Funko,,830395024639,2011,Exclusive,,1,316990,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1321796/Count_Chocula_%2528Metallic%2529_Vinyl_Art_Toys_58e463b6-86f4-4b52-b153-09149c521188_medium.png
Crowley,"Pop! Television, Pop! Vinyl",Funko,,849803051006,2014,,,200,316991,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1321798/Crowley_Vinyl_Art_Toys_2d3bf813-0cb9-4dcc-9795-6c079b44b24c_medium.png
Crowley,"Hot Topic, Pop! Television, Pop! Vinyl",Funko,,849803051549,2014,,,200,316992,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1321800/Crowley_%2528Red_Eyes%2529_Vinyl_Art_Toys_b48b802c-702f-492b-9fd3-5c589dc60794_medium.png
Crowley,Pop! Television,Funko,,849803055660,2015,Exclusive,,200,316993,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456629/Crowley_%2528Bloody%2529_Vinyl_Art_Toys_cdbec26f-a783-4c26-a429-789de30087b5_medium.jpg
Cthulhu,"Pop! Vinyl, Pop! Books",Funko,,849803048167,2015,,"3.75""",03,316995,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456631/Cthulhu_Vinyl_Art_Toys_f58ebae3-adf2-4533-851c-0abc19403f40_medium.jpg
Cthulhu,"Pop! Vinyl, Pop! Books",Funko,"{'name': 'Entertainment Earth', 'url': '/marketplaces/hobbydb/subjects/entertainment-earth-retailer'}",849803057015,2015,"Exclusive, Limited Edition","3.75""",03,316996,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1321802/Cthulhu_%2528Glow_in_the_Dark%2529_Vinyl_Art_Toys_f37e8815-9057-4eb6-85ff-08d67a87b8e3_medium.png
Cthulhu,"Pop! Vinyl, Pop! Books",Funko,"{'name': 'New York Comic Con', 'url': '/marketplaces/hobbydb/subjects/new-york-comic-con-event-series'}",849803056735,Oct 2015,"Exclusive, Limited Edition","3.75""",03,316997,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1321804/Cthulhu_%2528Patina%2529_Vinyl_Art_Toys_485334fc-96fd-4e23-8e23-23b64f42b5ce_medium.png
Cthulhu,"Pop! Vinyl, Pop! Books",Funko,"{'name': 'BAM!', 'url': '/marketplaces/hobbydb/subjects/bam-books-a-million-retailer'}",889698113991,2016,Exclusive,,3,316998,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1321806/Cthulhu_%2528Gold_Metallic%2529_Vinyl_Art_Toys_dc075413-35d7-4252-b036-5e39456f85c3_medium.png
